SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1415.00,1458.00,1384.00,1395.20,1395.20,1407.20,3824,25165,35995427.00,
500003,AEGIS LOGIS ,B ,Q,426.00,429.00,410.00,415.20,415.20,421.70,602,3227,1345376.00,
500008,AMAR RAJA BA,A ,Q,885.00,891.85,870.70,876.95,876.95,884.60,984,7407,6533652.00,
500009,A.SARABHAI  ,B ,Q,3.92,4.36,3.92,4.20,4.22,4.16,43,5336,21844.00,
500010,HDFC        ,A ,Q,1353.00,1379.00,1311.90,1336.15,1336.15,1347.10,16359,230368,309553778.00,
500012,ANDHRA PETRO,B ,Q,10.90,11.25,10.22,10.70,10.70,10.91,195,34825,374076.00,
500013,ANSAL INFRAS,B ,Q,30.00,30.80,28.25,28.60,28.60,29.55,1163,79180,2345899.00,
500014,APPLE FINANC,B ,Q,2.52,2.79,2.52,2.55,2.55,2.63,14,2035,5183.00,
500020,BOM DYEING  ,B ,Q,75.05,75.95,71.90,72.70,72.70,74.35,4472,427845,31598525.00,
500023,ASIANHOTNR  ,B ,Q,112.50,115.00,110.50,113.40,113.40,112.00,26,62,6879.00,
500024,ASSAMCO     ,B ,Q,5.03,5.07,4.78,4.82,4.82,5.04,441,261943,1277138.00,
500027,ATUL LTD.   ,A ,Q,1297.00,1305.00,1276.85,1281.00,1289.90,1296.65,262,945,1219021.00,
500028,ATV PROJECTS,T ,Q,2.85,3.10,2.85,2.88,2.88,2.99,27,5376,15790.00,
500029,AUTOLITE(I) ,B ,Q,34.00,34.00,31.55,32.95,33.50,33.50,73,2332,75954.00,
500030,AUTORID.FIN ,T ,Q,0.89,0.89,0.89,0.89,0.89,0.85,2,1000,890.00,
500031,BAJAJ ELECT.,A ,Q,222.00,225.75,213.00,215.40,217.90,218.95,4790,100825,22094024.00,
500032,BAJAJHIND.LT,B ,Q,18.30,18.65,17.75,17.85,17.85,18.35,2187,432638,7871676.00,
500033,FORCE MOTR  ,B ,Q,1347.00,1374.00,1305.50,1344.00,1344.00,1336.25,7550,96562,129615188.00,
500034,BAJFINANCE  ,A ,Q,4099.25,4450.00,4099.25,4362.80,4362.80,4112.75,2387,6724,28914829.00,
500038,BALRAM.CHINI,A ,Q,60.60,61.40,57.85,58.65,58.45,60.75,1143,55635,3335698.00,
500039,BANCO PROD. ,B ,Q,129.10,130.60,124.60,125.60,125.60,127.80,337,9349,1182799.00,
500040,CENTURY TEXT,A ,Q,510.50,534.65,493.80,530.35,530.35,506.70,10507,227977,117321267.00,
500041,BANNARI AMAN,B ,Q,1136.00,1155.00,1125.00,1155.00,1155.00,1163.75,10,12,13577.00,
500042,BASF INDIA  ,B ,Q,1158.30,1176.15,1129.50,1145.15,1157.45,1147.45,1751,7206,8331363.00,
